q_num,q_statement,A,B,C,D,ans,explain,E
26,Which of the following services will automatically scale with an expected increase in webtraffic?,AWS CodePipeline,Elastic Load Balancing,Amazon EBS,AWS Direct Connect, B,https://aws.amazon.com/elasticloadbalancing/,
27,"Where are AWS compliance documents, such as an SOC 1 report, located?",Amazon Inspector,AWS CloudTrail,AWS Artifact,AWS Certificate Manager, C,https://aws.amazon.com/compliance/soc-faqs/,
28,"Under the AWS shared responsibility model, which of the following activities are thecustomer's responsibility? (Select TWO.)",Patching operating system components for Amazon Relational Database Server,Encrypting data on the client-side,Training the data center staff,Configuring Network Access Control Lists (ACL), BD,(Amazon RDS)https://aws.amazon.com/compliance/shared-responsibility-model/,Maintaining environmental controls within a data center
29,Which is a recommended pattern for designing a highly available architecture on AWS?,Ensure that components have low-latency network connectivity.,Run enough Amazon EC2 instances to operate at peak load.,Ensure that the application is designed to accommodate failure of any single,Use a monolithic application that handles all operations., C,component.,
30,"According to best practices, how should an application be designed to run in the AWSCloud?",Use tighly coupled components.,Use loosely coupled components.,Use infrequently coupled components.,Use frequently coupled components., B,https://d1.awsstatic.com/whitepapers/AWS_Cloud_Best_Practices.pdf,
31,AWS supports which of the following methods to add security to Identity and AccessManagement (IAM) users? (Select TWO.),Implementing Amazon Rekognition,Using AWS Shield-protected resources,Blocking access with Security Groups,Using Multi-Factor Authentication (MFA), DE,,Enforcing password strength and expiration
32,Which AWS services should be used for read/write of constantly changing data? (SelectTWO.),Amazon Glacier,Amazon RDS,AWS Snowball,Amazon Redshift, BE,,Amazon EFS
33,What is one of the advantages of the Amazon Relational Database Service (AmazonRDS)?,It simplifies relational database administration tasks.,It provides 99.99999999999% reliability and durability.,It automatically scales databases for loads.,It enabled users to dynamically adjust CPU and RAM resources., A,"In the main RDS page though, Lower administrative burden is listed as part of thebenefits.https://aws.amazon.com/rds/",
34,A customer needs to run a MySQL database that easily scales.Which AWS service should they use?,Amazon Aurora,Amazon Redshift,Amazon DynamoDB,Amazon ElastiCache, A,https://aws.amazon.com/rds/aurora/serverless/,
35,Which of the following components of the AWS Global Infrastructure consists of one ormore discrete data centers interconnected through low latency links?,Availability Zone,Edge location,Region,Private networking, A,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html,
36,Which of the following is a shared control between the customer and AWS?,Providing a key for Amazon S3 client-side encryption,Configuration of an Amazon EC2 instance,Environmental controls of physical AWS data centers,Awareness and training, D,https://aws.amazon.com/compliance/shared-responsibility-model/,
37,How many Availability Zones should compute resources be provisioned across to achievehigh availability?,A minimum of one,A minimum of two,A minimum of three,A minimum of four or more, B,,
38,One of the advantages to moving infrastructure from an on-premises data center to theAWS Cloud is:,it allows the business to eliminate IT bills.,it allows the business to put a server in each customer's data center.,it allows the business to focus on business activities.,it allows the business to leave servers unpatched., C,,
39,"What is the lowest-cost, durable storage option for retaining database backups forimmediate retrieval?",Amazon S3,Amazon Glacier,Amazon EBS,Amazon EC2 Instance Store, A,,
40,Which AWS IAM feature allows developers to access AWS services through the AWSCLI?,API keys,Access keys,User names/Passwords,SSH keys, B,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_access-keys.html,
41,Which of the following is a fast and reliable NoSQL database service?,Amazon Redshift,Amazon RDS,Amazon DynamoDB,Amazon S3, C,https://aws.amazon.com/dynamodb/,
42,What is an example of agility in the AWS Cloud?,Access to multiple instance types,Access to managed services,Using Consolidated Billing to produce one bill,Decreased acquisition time for new compute resources, D,https://aws.amazon.com/blogs/enterprise-strategy/risk-is-lack-of-agility/,
43,Which service should a customer use to consolidate and centrally manage multiple AWSaccounts?,AWS IAM,AWS Organizations,AWS Schema Conversion Tool,AWS Config, B,https://aws.amazon.com/organizations/,
44,What approach to transcoding a large number of individual video files adheres to AWSarchitecture principles?,Using many instances in parallel,Using a single large instance during off-peak hours,Using dedicated hardware,Using a large GPU instance type, A,https://aws.amazon.com/solutions/case-studies/encoding/,
45,For which auditing process does AWS have sole responsibility?,AWS IAM policies,Physical security,Amazon S3 bucket policies,AWS CloudTrail Logs, B,,
46,Which feature of the AWS Cloud will support an international company's requirement forlow latency to all of its customers?,Fault tolerance,Global reach,Pay-as-you-go pricing,High availability, B,Global Reach will support an international company using Cloud-Front.,
47,Which of the following is the customer's responsibility under the AWS sharedresponsibility model?,Patching underlying infrastructure,Physical security,Patching Amazon EC2 instances,Patching network infrastructure, C,https://aws.amazon.com/compliance/shared-responsibility-model/,
48,A customer is using multiple AWS accounts with separate billing.How can the customer take advantage of volume discounts with minimal impact to theAWS resources?,Create one global AWS acount and move all AWS resources to tha account.,Sign up for three years of Reserved Instance pricing up front.,Use the consolidated billing feature from AWS Organizations.,Sign up for the AWS Enterprise support plan to get volume discounts., C,https://aws.amazon.com/answers/account-management/aws-multi-account-billing-strategy/,
49,Which of the following are features of Amazon CloudWatch Logs? (Select TWO.),Summaries by Amazon Simple Notification Service (Amazon SNS),Free Amazon Elasticsearch Service analytics,Provided at no charge,Real-time monitoring, DE,,Adjustable retention
50,Which of the following is an AWS managed Domain Name System (DNS) web service?,Amazon Route 53,Amazon Neptune,Amazon SageMaker,Amazon Lightsail, A,https://aws.amazon.com/getting-started/tutorials/get-a-domain/,
51,A customer is deploying a new application and needs to choose an AWS Region.Which of the following factors could influence the customer's decision? (Select TWO.),Reduced latency to users,The application's presentation in the local language,Data sovereignty compliance,Cooling costs in hotter climates, AC,,Proximity to the customer's office for on-site visits
52,Which storage service can be used as a low-cost option for hosting static websites?,Amazon Glacier,Amazon DynamoDB,Amazon Elastic File System (Amazon EFS),Amazon Simple Storage Service (Amazon S3), D,https://aws.amazon.com/getting-started/projects/host-static-website/,
53,Which Amazon EC2 instance pricing model can provide discounts of up to 90%?,Reserved Instances,On-Demand,Dedicated Hosts,Spot Instances, D,https://aws.amazon.com/ec2/spot/,
54,What is the AWS customer responsible for according to the AWS shared responsibilitymodel?,Physical access controls,Data encryption,Secure disposal of storage devices,Environmental risk management, B,,
55,Which of the following AWS Cloud services can be used to run a customer-managedrelational database?,Amazon EC2,Amazon Route 53,Amazon ElastiCache,Amazon DynamoDB, A,,
56,A company is looking for a scalable data warehouse solution.Which of the following AWS solutions would meet the company's needs?,Amazon Simple Storage Service (Amazon S3),Amazon DynamoDB,Amazon Kinesis,Amazon Redshift, D,https://aws.amazon.com/redshift/,
57,Which statement best describes Elastic Load Balancing?,It translates a domain name into an IP address using DNS.,It distributes incoming application traffic across one or more Amazon EC2 instances.,It collects metrics on connected Amazon EC2 instances.,It automatically adjusts the number of Amazon EC2 instances to support incoming, B,traffic.https://aws.amazon.com/elasticloadbalancing/,
58,Which of the following are valid ways for a customer to interact with AWS services?(Select TWO.),Command line interface,On-premises,Software Development Kits,Software-as-a-service, AC,,Hybrid
59,The AWS Cloud's multiple Regions are an example of:,agility.,global infrastructure.,elasticity.,pay-as-you-go pricing., B,,
60,Which of the following AWS services can be used to serve large amounts of online videocontent with the lowest possible latency? (Select TWO.),AWS Storage Gateway,Amazon S3,Amazon Elastic File System (EFS),Amazon Glacier, BE,https://aws.amazon.com/getting-started/tutorials/deliver-content-faster/https://aws.amazon.com/cloudfront/,Amazom CloudFront
61,Web servers running on Amazon EC2 access a legacy application running in a corporatedata center.What term would describe this model?,Cloud-native,Partner network,Hybrid architecture,Infrastructure as a service, C,https://aws.amazon.com/enterprise/hybrid/,
62,"What is the benefit of using AWS managed services, such as Amazon ElastiCache andAmazon Relational Database Service (Amazon RDS)?",They require the customer to monitor and replace failing instances.,They have better performance than customer-managed services.,They simplify patching and updating underlying OSs.,They do not require the customer to optimize instance type or size selections., C,,
63,Which service provides a virtually unlimited amount of online highly durable objectstorage?,Amazon Redshift,Amazon Elastic File System (Amazon EFS),Amazon Elastic Container Service (Amazon ECS),Amazon S3, D,https://aws.amazon.com/what-is-cloud-object-storage/,
64,Which of the following Identity and Access Management (IAM) entities is associated withan access key ID and secret access key when using AWS CommandLine Interface (AWS CLI)?,IAM group,IAM user,IAM role,IAM policy, B,"Access keys are long-term credentials for an IAM user or the AWS account root user. Youcan use access keys to sign programmatic requests to the AWS CLI or AWS API (directlyor using the AWS SDK). For more information, see Signing AWS API Requests in theAmazon Web Services General Reference.",
65,Which of the following security-related services does AWS offer? (Select TWO.),Multi-factor authentication physical tokens,AWS Trusted Advisor security checks,Data encryption,Automated penetration testing, BC,"Penetration testing is not correct, because it can be done by customers on their ownresources.",Amazon S3 copyrighted content detection
66,Which AWS managed service is used to host databases?,AWS Batch,AWS Artifact,AWS Data Pipeline,Amazon RDS, D,"Amazon Relational Database Service (Amazon RDS) makes it easy to set up, operate,and scale a relational database in the cloud. It provides cost-efficient and resizablecapacity while automating time- consuming administration tasks such as hardwareprovisioning, database setup, patching and backups. It frees you to focus on yourapplications so you can give them the fast performance, high availability, security andcompatibility they need.Reference: https://aws.amazon.com/rds/?c=db&sec=srv",
67,Which AWS service provides a simple and scalable shared file storage solution for usewith Linux-based AWS and on-premises servers?, Amazon S3, Amazon Glacier,Amazon EBS,Amazon EFS,D,"Amazon Elastic File System (Amazon EFS) provides a simple, scalable, fully managedelastic NFS file system for use with AWS Cloud services and on-premises resources. It isbuilt to scale on demand to petabytes without disrupting applications, growing andshrinking automatically as you add and remove files, eliminating the need to provision andmanage capacity to accommodate growth.Amazon EFS is designed to provide the throughput, IOPS, and low latency needed forLinux workloads.Throughput and IOPS scale as a file system grows and can burst to higher throughputlevels for short periods of time to support the unpredictable performance needs of fileworkloads. For the most demanding workloads, Amazon EFS can support performanceover 10 GB/sec and up to 500,000 IOPS.",
68,"When architecting cloud applications, which of the following are a key design principle?",Use the largest instance possible,Provision capacity for peak load,Use the Scrum development process,Implement elasticity, D,"""Provisioning for peaks"" is a characteristic of a traditional computing environment, per theAWS Best Practices: ""you provision capacity based on an estimate of a theoreticalmaximum peak."" ""https://d1.awsstatic.com/whitepapers/AWS_Cloud_Best_Practices.pdf""",
69,"Which AWS service should be used for long-term, low-cost storage of data backups?",Amazon RDS,Amazon Glacier,AWS Snowball,AWS EBS, B,"Amazon S3 Glacier is a secure, durable, and low-cost storage class of S3 for dataarchiving and long-term backup. Customers can store large or small amounts of data foras little as $0.004 per gigabyte per month.The S3 Glacier storage class is ideal for archives where data is regularly retrieved andsome of the data may be needed in minutes.Amazon RDS is a relational database service that hosts databases. It helps you createand manage databases. Amazon Snowball is a petabyte-scale data transfer service thatprovides cost efficient data transfer to AWS from tamper proof physical devices. Similarly,Elastic block storage offers persistent block storage volumes for EC2 instances.Reference: https://aws.amazon.com/backup-restore/services/",
70,Which task is AWS responsible for in the shared responsibility model for security andcompliance?,Granting access to individuals and services,Encrypting data in transit,Updating Amazon EC2 host firmware,Updating operating systems, C,"Because customer is responsible for encrypting data in transportation. Answer must be C. Yes, customer mayneed to update operating system. However, customer has no access to the underlying firmware. That isresponsibility of AWS.",
71,"Where should a company go to search software listings from independent softwarevendors to find, test, buy and deploy software that runs on AWS?",AWS Marketplace,Amazon Lumberyard,AWS Artifact,Amazon CloudSearch, A,"AWS Marketplace is a digital catalog with thousands of software listings from independentsoftware vendors that make it easy to find, test, buy, and deploy software that runs onAWS.Reference: https://aws.amazon.com",
72,Which of the following is a benefit of using the AWS Cloud?,Permissive security removes the administrative burden.,Ability to focus on revenue-generating activities.,Control over cloud network hardware.,Choice of specific cloud hardware vendors., B,"Developer and IT staff productivity accounted for nearly 30% of overall financial benefits.The remaining benefits were driven by the flexibility and agility of Amazon cloudinfrastructure services, which make it easier to trial new business models, supportrevenue-generating applications, and provide more reliable services to end users.Reference: https://media.amazonwebservices.com/IDC_Business_Value_of_AWS_Accelerates_Over_time.pdf",
73,"When performing a cost analysis that supports physical isolation of a customer workload,which compute hosting model should be accounted for in the Total Costof Ownership (TCO)?",Dedicated Hosts,Reserved Instances,On-Demand Instances,No Upfront Reserved Instances, A,"Use Dedicated Hosts to launch Amazon EC2 instances on physical servers that arededicated for your use. Dedicated Hosts give you additional visibility and control over howinstances are placed on a physical server, and you can reliably use the same physicalserver over time. As a result, Dedicated Hosts enable you to use your existingserver-bound software licenses like Windows Server and address corporate complianceand regulatory requirements.",
74,Which AWS service provides the ability to manage infrastructure as code?,AWS CodePipeline,AWS CodeDeploy,AWS Direct Connect,AWS CloudFormation, D,"AWS CloudFormation provides a common language for you to describe and provision allthe infrastructure resources in your cloud environment. CloudFormation allows you to usea simple text file to model and provision, in an automated and secure manner, all theresources needed for your applications across all regions and accounts. This file servesas the single source of truth for your cloud environment.Reference: https://aws.amazon.com/cloudformation/",
75,"If a customer needs to audit the change management of AWS resources, which of thefollowing AWS services should the customer use?",AWS Config,AWS Trusted Advisor,Amazon CloudWatch,Amazon Inspector, A,"AWS Config is a service that enables you to assess, audit, and evaluate theconfigurations of your AWS resources. Config continuously monitors and records yourAWS resource configurations and allows you to automate the evaluation of recordedconfigurations against desired configurations. With Config, you can review changes inconfigurations and relationships between AWS resources, dive into detailed resourceconfiguration histories, and determine your overall compliance against the configurationsspecified in your internal guidelines. This enables you to simplify compliance auditing,security analysis, change management, and operational troubleshooting.Reference: https://aws.amazon.com/config/",
76,What is Amazon CloudWatch?,A code repository with customizable build and team commit features.,A metrics repository with customizable notification thresholds and channels.,A security configuration repository with threat analytics.,A rule repository of a web application firewall with automated vulnerability prevention, B,"features.Amazon CloudWatch is basically a metrics repository. An AWS service -- such as AmazonEC2 -- puts metrics into the repository, and you retrieve statistics based on those metrics.If you put your own custom metrics into the repository, you can retrieve statistics on thesemetrics as well.Reference:https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/cloudwatch_architecture.html",
77,Which service allows a company with multiple AWS accounts to combine its usage toobtain volume discounts?,AWS Server Migration Service,AWS Organizations,AWS Budgets,AWS Trusted Advisor, B,"use the consolidated billing feature in AWS Organizations to consolidate billing andpayment for multiple AWS accounts or multiple Amazon Internet Services Pvt.Ltd (AISPL) accounts. Every organization in AWS Organizations has a master accountthat pays the charges of all the member accounts.Consolidated billing has the following benefits:One bill You get one bill for multiple accounts.Easy tracking You can track the charges across multiple accounts and download thecombined cost and usage data.Combined usage You can combine the usage across all accounts in the organization toshare the volume pricing discounts and Reserved Instance discounts.This can result in a lower charge for your project, department, or company than withindividual standalone accounts. For more information, see Volume Discounts.No extra fee Consolidated billing is offered at no additional cost.",
78,Which of the following services could be used to deploy an application to servers runningon-premises? (Select TWO.),AWS Elastic Beanstalk,AWS OpsWorks,AWS CodeDeploy,AWS Batch, BC,https://docs.aws.amazon.com/codedeploy/latest/userguide/instances-on-premises.htmlhttps://aws.amazon.com/blogs/aws/opsworks-on-prem-andexisting-instances/,AWS X-Ray
79,Which Amazon EC2 pricing model adjusts based on supply and demand of EC2instances?,On-Demand Instances,Reserved Instances,Spot Instances,Convertible Reserved Instances, C,"In the new model, the Spot prices are more predictable, updated less frequently, and aredetermined by supply and demand for Amazon EC2 spare capacity, notbid prices.Reference: https://aws.amazon.com/blogs/compute/new-amazon-ec2-spot-pricing/",
80,Which design principles for cloud architecture are recommended when re-architecting alarge monolithic application? (Select TWO.),Use manual monitoring.,Use fixed servers.,Implement loose coupling.,Rely on individual components., CE,,Design for scalability.
81,Which is the MINIMUM AWS Support plan that allows for one-hour target response timefor support cases?,Enterprise,Business,Developer,Basic, B,https://aws.amazon.com/premiumsupport/plans/,
82,Where can AWS compliance and certification reports be downloaded?,AWS Artifact,AWS Concierge,AWS Certificate Manager,AWS Trusted Advisor, A,"WS Artifact is your go-to, central resource for compliance-related information that mattersto you. It provides on-demand access to AWS's security and compliance reports andselect online agreements. The AWS SOC 2 report is particularly helpful for completingquestionnaires because it provides a comprehensive description of the implementationand operating effectiveness of AWS security controls.Another useful document is the Executive Briefing within the AWS FedRAMP PartnerPackage.Reference: https://aws.amazon.com/compliance/faq/",
83,Which AWS service provides a customized view of the health of specific AWS servicesthat power a customer's workloads running on AWS?,AWS Service Health Dashboard,AWS X-Ray,AWS Personal Health Dashboard,Amazon CloudWatch, C,,
84,Which of the following is an advantage of consolidated billing on AWS?,Volume pricing qualification,Shared access permissions,Multiple bills per account,Eliminates the need for tagging, A,"If you have multiple standalone accounts, your charges might decrease if you add theaccounts to an organization. AWS combines usage from all accounts in the organizationto qualify you for volume pricing discounts.Reference: https://help.nops.io/consolidated-billing",
85,Which of the following steps should be taken by a customer when conducting penetrationtesting on AWS?,"Conduct penetration testing using Amazon Inspector, and then notify AWS support.","Request and wait for approval from the customer's internal security team, and then","Notify AWS support, and then conduct testing immediately.","Request and wait for approval from AWS support, and then conduct testing.", B,conduct testing.AWS customers are welcome to carry out security assessments or penetration testsagainst their AWS infrastructure without prior approval for 8 services.Reference: https://aws.amazon.com/security/penetration-testing/,
86,Which of the following AWS features enables a user to launch apre-configured Amazon Elastic Compute Cloud (Amazon EC2) instance?,Amazon Elastic Block Store (Amazon EBS),Amazon Machine Image,Amazon EC2 Systems Manager,Amazon AppStream 2.0, B,"To use Amazon EC2, you simply:Select a pre-configured, templated Amazon Machine Image (AMI) to get up and runningimmediately.Or create an AMI containing your applications, libraries, data, and associatedconfiguration settings.Configure security and network access on your Amazon EC2 instance.Choose which instance type(s) you want, then start, terminate, and monitor as manyinstances of your AMI as needed, using the web service APIs or the variety ofmanagement tools provided.Determine whether you want to run in multiple locations, utilize static IP endpoints, orattach persistent block storage to your instances.Pay only for the resources that you actually consume, like instance-hours or data transfer.Reference: https://aws.amazon.com/ec2/features/",
87,How would an AWS customer easily apply common access controls to a large set ofusers?,Apply an IAM policy to an IAM group.,Apply an IAM policy to an IAM role.,Apply the same IAM policy to all IAM users with access to the same workload.,Apply an IAM policy to an Amazon Cognito user pool., A,"Instead of defining permissions for individual IAM users, it's usually more convenient tocreate groups that relate to job functions (administrators, developers,accounting, etc.).Next, define the relevant permissions for each group. Finally, assign IAM users to thosegroups. All the users in an IAM group inherit the permissions assigned to the group. Thatway, you can make changes for everyone in a group in just one place. As people movearound in your company, you cansimply change what IAM group their IAM user belongs to.Reference: https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html",
88,Which AWS Cost Management tool allows you to view the most granular data about yourAWS bill?,AWS Cost Explorer,AWS Budgets,AWS Cost and Usage report,AWS Billing dashboard, C,"The Cost & Usage Report is your one-stop-shop for accessing the most granular dataabout your AWS costs and usage. You can also load your cost and usage information intoAmazon Athena, Amazon Redshift, AWS QuickSight, or a tool of your choice.Reference: https://aws.amazon.com/aws-cost-management/",
89,Which of the following can an AWS customer use to launch a new Amazon RelationalDatabase Service (Amazon RDS) cluster? (Select TWO.),AWS Concierge,AWS CloudFormation,Amazon Simple Storage Service (Amazon S3),Amazon EC2 Auto Scaling, BE,,AWS Management Console
90,Which of the following is an AWS Cloud architecture design principle?,Implement single points of failure.,Implement loose coupling.,Implement monolithic design.,Implement vertical scaling., B,"Loose coupling between services can also be done through asynchronous integration. Itinvolves one component that generates events and another that consumes them. The twocomponents do not integrate through direct point-to-point interaction, but usually throughan intermediate durable storage layer. This approach decouples the two components andintroduces additional resiliency. So, for example, if a process that is reading messagesfrom the queue fails,messages can still be added to the queue to be processed when the system recovers.Reference: https://www.botmetric.com/blog/aws-cloud-architecture-design-principles/",
91,Which of the following security measures protect access to an AWS account? (SelectTWO.),Enable AWS CloudTrail.,Grant least privilege access to IAM users.,Create one IAM user and share with many developers and users.,Enable Amazon CloudFront., BE,"If you decided to create service accounts (that is, accounts used for programmatic accessby applications running outside of the AWS environment) and generate access keys forthem, you should create a dedicated service account for each use case. This will allowyou to restrict the associated policy to only the permissions needed for the particular usecase, limiting the blast radius if the credentials are compromised. For example, if amonitoring tool and a release management tool both require access to your AWSenvironment, create two separate service accounts with two separate policies that definethe minimum set of permissions foreach tool.Reference:https://aws.amazon.com/blogs/security/guidelines-for-protecting-your-aws-account-whileusing-programmatic-access/",Activate multi-factor authentication (MFA) for privileged users.
92,Which service provides a hybrid storage service that enables on-premises applications toseamlessly use cloud storage?,Amazon Glacier,AWS Snowball,AWS Storage Gateway,Amazon Elastic Block Storage (Amazon EBS), C,"AWS Storage Gateway is a hybrid cloud storage service that gives you on-premisesaccess to virtually unlimited cloud storage. Customers use Storage Gateway to simplifystorage management and reduce costs for key hybrid cloud storage use cases. Theseinclude moving tape backups to the cloud, reducing on-premises storage withcloud-backed file shares, providing low latency access to data in AWS for on- premisesapplications, as well as various migration, archiving, processing, and disaster recoveryuse cases.Reference: https://aws.amazon.com/storagegateway/?whats-new-cards.sortby=item.additionalFields.postDateTime&whats-new-cards.sort-order=desc",
93,"Which of the following services falls under the responsibility of the customer to maintainoperating system configuration, security patching, and networking?",Amazon RDS,Amazon EC2,Amazon ElastiCache,AWS Fargate, B,"The customer is responsible for managing, support, patching and control of the guestoperating system and AWS services provided like EC2.Reference: https://www.whizlabs.com/blog/aws-security-shared-responsibility/",
94,Which of the following is an important architectural design principle when designing cloudapplications?,Use multiple Availability Zones.,Use tightly coupled components.,Use open source software.,Provision extra capacity., A,"Data Center resilience is practiced through Availability Zones across data centers thatreduce the impact of failures.Fault isolation improvement can be made to traditional horizontal scaling by sharding (amethod of grouping instances into groups called shards, instead of sending the traffic fromall users to every node like in the traditional IT structure.)Reference: https://www.botmetric.com/blog/aws-cloud-architecture-design-principles/",
95,Which AWS support plan includes a dedicated Technical Account Manager?,Developer,Enterprise,Business,Basic, B,The enterprise support plans supports technical account manager. Developer andbusiness support plans are devoid of this facility.Reference: https://aws.amazon.com/premiumsupport/plans/,
96,Amazon Relational Database Service (Amazon RDS) offers which of the followingbenefits over traditional database management?,AWS manages the data stored in Amazon RDS tables.,AWS manages the maintenance of the operating system.,AWS automatically scales up instance types on demand.,AWS manages the database type., B,,
